"Address","Price","Beds","Baths","SQFT","Type","Laundry","Heating","Cooling","Pets","Parking","Desc","Scrape_Date","Scrape_Zip","Link"
"Babcock StIncomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent, brokerage, or listing provider. Boston, MA 02215 ","$2,500","2 beds","1 bath","-- sqft","Multi Family","No Data","No Data","No Data","Contact manager","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/Babcock-St-Boston-MA-02215/2094626139_zpid/?fullpage=true"
"Boylston StIncomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent, brokerage, or listing provider. Boston, MA 02215 ","$1,850","Studio","1 bath","-- sqft","Multi Family","No Data","No Data","No Data","Contact manager","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/Boylston-St-Boston-MA-02215/2101731123_zpid/?fullpage=true"
"(undisclosed Address)Incomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent, brokerage, or listing provider. Boston, MA 02215 ","$1,445","Studio","1 bath","-- sqft","Multi Family","No Data","No Data","No Data","Contact manager","None",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/(undisclosed-Address)-Boston-MA-02215/2121147864_zpid/?fullpage=true"
"(undisclosed Address)Incomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent, brokerage, or listing provider. Boston, MA 02215 ","$1,700","Studio","1 bath","-- sqft","Multi Family","In Unit, Shared","Forced air","No Data","Contact manager","On street",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/(undisclosed-Address)-Boston-MA-02215/2127383946_zpid/?fullpage=true"
"(undisclosed Address)Incomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent, brokerage, or listing provider. Boston, MA 02215 ","$1,600","Studio","1 bath","-- sqft","Multi Family","No Data","No Data","No Data","Contact manager","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/(undisclosed-Address)-Boston-MA-02215/2128413763_zpid/?fullpage=true"
"Queensberry StIncomplete address or missing price?Sometimes listing partners send Zillow listings that do not include a full address or price.To get more details on this property, please contact the listing agent, brokerage, or listing provider. Boston, MA 02215 ","$1,600","Studio","1 bath","-- sqft","Multi Family","No Data","No Data","No Data","Contact manager","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/Queensberry-St-Boston-MA-02215/2101731105_zpid/?fullpage=true"
"105 Queensberry St # 92, Boston, MA 02215 ","$2,150","1 bed","1 bath","-- sqft","Multi Family","No Data","No Data","No Data","Cats","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/105-Queensberry-St-92-Boston-MA-02215/2101731246_zpid/?fullpage=true"
"95 Park Dr APT 6, Boston, MA 02215 ","$2,550","1 bed","1 bath","-- sqft","Apartment","Shared","Forced air","Other","Cats, small dogs","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/95-Park-Dr-APT-6-Boston-MA-02215/2126516897_zpid/?fullpage=true"
"1066 Commonwealth Ave APT 23A, Boston, MA 02215 ","$4,250","4 beds","2 baths","-- sqft","Apartment","No Data","No Data","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/1066-Commonwealth-Ave-APT-23A-Boston-MA-02215/2089512917_zpid/?fullpage=true"
"922 Beacon St # 23CC, Boston, MA 02215 ","$2,550","1 bed","1 bath","-- sqft","Apartment","No Data","No Data","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/922-Beacon-St-23CC-Boston-MA-02215/2088269108_zpid/"
"21 Aberdeen St # T8, Boston, MA 02215 ","$1,900","1 bed","1 bath","-- sqft","Multi Family","No Data","No Data","No Data","No","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/21-Aberdeen-St-T8-Boston-MA-02215/2089063510_zpid/"
"21 Aberdeen St APT 5E, Boston, MA 02215 ","$2,150","1 bed","1 bath","-- sqft","Multi Family","Shared","No Data","No Data","Contact manager","No Data",NA,"11-09-2018",3,"https://www.zillow.com/homedetails/21-Aberdeen-St-APT-5E-Boston-MA-02215/2087780581_zpid/"
